.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model16,1,0.43478260869565216,0.5456521739130434,0.5376344086021505,0.42052313883299797,0.007724079917018505,17,5,455,25
Preprocessor1_Model18,0.9363636363636365,0.43283582089552236,0.5422885572139303,0.46774193548387094,0.40643863179074446,0.008691549755877943,14,6,785,21
Preprocessor1_Model10,0.9272727272727272,0.42452830188679247,0.5400943396226415,0.4838709677419355,0.4104627766599598,0.005713287761624738,16,5,615,29
Preprocessor1_Model02,0.7909090909090909,0.4088669950738916,0.5344827586206896,0.44623655913978494,0.4044265593561368,0.005214929393801575,13,7,629,18
Preprocessor1_Model21,0.7727272727272728,0.40186915887850466,0.5210280373831776,0.46236559139784944,0.3762575452716298,5.011204307581766e-4,12,7,437,17
Preprocessor1_Model22,0.7181818181818183,0.3891402714932127,0.5135746606334841,0.46236559139784944,0.3822937625754527,0.003051084248693308,16,6,712,19
Preprocessor1_Model07,0.7136363636363636,0.39622641509433965,0.5070754716981132,0.45161290322580644,0.3843058350100604,0.0017492558524254242,16,7,548,24
Preprocessor1_Model05,0.6,0.38461538461538464,0.5,0.45698924731182794,0.3782696177062374,0.0013727289993873538,15,5,736,28
Preprocessor1_Model09,0.5909090909090909,0.38967136150234744,0.5093896713615024,0.44623655913978494,0.36016096579476864,2.246528591412164e-4,16,6,668,26
Preprocessor1_Model13,0.5272727272727272,0.3878504672897196,0.5163551401869159,0.44623655913978494,0.3380281690140845,2.1043707520039645e-4,17,5,597,22
Preprocessor1_Model19,0.4818181818181818,0.3915094339622642,0.49292452830188677,0.44623655913978494,0.36016096579476864,1.1582307815648186e-4,13,7,485,27
Preprocessor1_Model01,0.46818181818181825,0.38388625592417064,0.4976303317535545,0.43548387096774194,0.3782696177062374,0.0021304965837132673,17,7,499,22
Preprocessor1_Model04,0.4545454545454546,0.38028169014084506,0.5023474178403756,0.43548387096774194,0.36217303822937624,0.0011090173169273378,14,8,691,18
Preprocessor1_Model11,0.36818181818181817,0.3717277486910995,0.4973821989528796,0.3817204301075269,0.38832997987927564,0.0036985893804101022,15,7,537,19
Preprocessor1_Model17,0.35909090909090907,0.38190954773869346,0.4949748743718593,0.40860215053763443,0.3702213279678068,0.002507985267339186,13,6,416,21
Preprocessor1_Model23,0.30000000000000004,0.3695652173913043,0.48478260869565215,0.45698924731182794,0.358148893360161,3.69738278758499e-4,15,6,564,27
Preprocessor1_Model06,0.3,0.3761904761904762,0.49523809523809526,0.42473118279569894,0.352112676056338,1.651597311342124e-4,15,8,777,20
Preprocessor1_Model20,0.2863636363636364,0.37104072398190047,0.497737556561086,0.44086021505376344,0.3299798792756539,2.764257105898426e-4,14,8,515,24
Preprocessor1_Model08,0.2318181818181818,0.37209302325581395,0.48604651162790696,0.43010752688172044,0.3420523138832998,1.273991307091339e-4,14,6,720,23
Preprocessor1_Model03,0.2090909090909091,0.37142857142857144,0.4928571428571429,0.41935483870967744,0.352112676056338,0.0010411347471565064,15,7,574,24
Preprocessor1_Model12,0.19090909090909092,0.36771300448430494,0.4820627802690583,0.44086021505376344,0.3561368209255533,6.306971530534096e-4,13,6,754,26
Preprocessor1_Model14,0.11363636363636365,0.34893617021276596,0.4595744680851064,0.44086021505376344,0.34004024144869216,8.631701447786631e-4,13,8,428,28
Preprocessor1_Model15,0.022727272727272728,0.3393665158371041,0.46153846153846156,0.4032258064516129,0.323943661971831,4.448620809521928e-4,12,7,658,20
