mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
14,743,22,7,0.002850962048138259,4.712407866636415e-6,rmse,standard,26.33346903867007,50,2.0409689433329303,Preprocessor1_Model11
13,535,18,8,0.004210562560886911,0.9045926500265541,rmse,standard,26.56170382639628,50,2.0630377645423303,Preprocessor1_Model22
16,615,23,8,0.005751140078860344,1.2745145485500094e-5,rmse,standard,26.86377935894423,50,2.148539235815887,Preprocessor1_Model12
17,500,25,6,0.007342311737538388,3.0690194887380066e-8,rmse,standard,26.936580793572436,50,2.1518956389155885,Preprocessor1_Model06
16,704,27,10,0.009564317761373451,4.70943549780003e-9,rmse,standard,27.19322964064182,50,2.211580620018499,Preprocessor1_Model04
16,474,31,9,0.006669537686775873,5.619647051849999,rmse,standard,27.19455667366968,50,2.210871947886532,Preprocessor1_Model24
15,797,29,11,0.0022580452450837044,0.06190239067038967,rmse,standard,27.5514222877758,50,2.1529069594464953,Preprocessor1_Model20
15,401,25,10,0.0035162238854206667,0.003952038459637626,rmse,standard,28.226383393186783,50,2.1706673552175566,Preprocessor1_Model17
15,440,24,7,0.0024580496711667354,0.0016559647780176841,rmse,standard,29.6595547671458,50,2.264910231393486,Preprocessor1_Model16
16,666,20,10,0.0016077024781985451,3.0726100297647773e-7,rmse,standard,30.25241270173933,50,2.350604500118295,Preprocessor1_Model08
15,649,29,8,0.0015033540756070253,0.02220833772123578,rmse,standard,30.66718837335006,50,2.354412816200368,Preprocessor1_Model19
14,693,27,5,0.0012576611549186074,1.811027574169456e-9,rmse,standard,31.206719973449953,50,2.4437564441616417,Preprocessor1_Model03
14,728,24,11,9.063855929600216e-4,1.2898514830251927e-4,rmse,standard,34.600832468354575,50,2.5836150667514826,Preprocessor1_Model14
16,453,28,10,0.0010539418069023664,1.7823714425813372e-6,rmse,standard,38.32299554573238,50,2.8205452538456353,Preprocessor1_Model10
17,759,26,5,5.840545587214684e-4,0.25707304783377993,rmse,standard,38.649179289116745,50,2.8628805809487723,Preprocessor1_Model21
13,549,19,6,7.091933801413736e-4,26.879238035426827,rmse,standard,40.122335169696,50,2.851576501131898,Preprocessor1_Model25
14,782,21,9,2.797850831761476e-4,1.0763668956558804e-8,rmse,standard,45.737153046464186,50,3.029394211595205,Preprocessor1_Model05
15,520,17,7,4.0257409122601e-4,0.01834779702196604,rmse,standard,46.02797724512788,50,3.031362820303886,Preprocessor1_Model18
13,427,18,8,4.851333816256973e-4,1.2416262459406027e-6,rmse,standard,46.10719088062495,50,3.049607239461499,Preprocessor1_Model09
14,577,19,6,3.052757950812561e-4,3.928728144196126e-10,rmse,standard,47.22137664329742,50,3.078683221837663,Preprocessor1_Model02
15,634,26,6,2.1425416274177685e-4,4.3793145672183696e-4,rmse,standard,49.023341874033484,50,3.1145041661280435,Preprocessor1_Model15
14,680,21,7,1.684235695600852e-4,1.1410017862960557e-7,rmse,standard,49.790745445275164,50,3.1135749768577097,Preprocessor1_Model07
15,564,30,6,2.0292848977218516e-4,3.2426693054474134,rmse,standard,49.925241948655014,50,3.1222530795546657,Preprocessor1_Model23
16,593,22,10,1.2489902215924111e-4,7.651445071584288e-5,rmse,standard,51.649598594238064,50,3.1298886798239245,Preprocessor1_Model13
17,485,28,9,1.1775019368844265e-4,1.8789518106313753e-10,rmse,standard,52.45958665832263,50,3.1407667552890177,Preprocessor1_Model01
